None,ticker,date,adj_close
90,WMT,2016-08-23,70.039199918895
91,WMT,2016-08-22,70.749615591269
92,WMT,2016-08-19,70.856664528202
93,WMT,2016-08-18,72.30669103757
94,WMT,2016-08-17,70.973445186675
95,WMT,2016-08-16,70.934518300517
96,WMT,2016-08-15,71.352982326711
97,WMT,2016-08-12,71.907690454455
98,WMT,2016-08-11,71.820104960601
99,WMT,2016-08-10,71.966080783691
100,WMT,2016-08-09,71.086441649868
101,WMT,2016-08-08,70.893114367709
102,WMT,2016-08-05,71.299101660243
103,WMT,2016-08-04,70.854448911277
104,WMT,2016-08-03,70.506459803391
105,WMT,2016-08-02,70.690120721442
106,WMT,2016-08-01,71.318434388459
107,WMT,2016-07-29,70.535458895715
108,WMT,2016-07-28,70.796450726629
109,WMT,2016-07-27,70.873781639493
110,WMT,2016-07-26,71.270102567919
111,WMT,2016-07-25,71.289435296135
112,WMT,2016-07-22,71.096108013976
113,WMT,2016-07-21,71.067108921652
114,WMT,2016-07-20,71.328100752567
115,WMT,2016-07-19,71.202438019163
116,WMT,2016-07-18,71.376432573106
117,WMT,2016-07-15,71.212104383271
118,WMT,2016-07-14,71.241103475595
119,WMT,2016-07-13,71.163772562731
120,WMT,2016-07-12,70.825449818953
121,WMT,2016-07-11,71.589092583481
122,WMT,2016-07-08,71.376432573106
123,WMT,2016-07-07,71.07677528576
124,WMT,2016-07-06,71.35709984489
125,WMT,2016-07-05,70.69978708555
126,WMT,2016-07-01,70.380797069988
127,WMT,2016-06-30,70.583790716254
128,WMT,2016-06-29,70.042474326209
129,WMT,2016-06-28,69.124169735954
130,WMT,2016-06-27,69.114503371846
131,WMT,2016-06-24,69.559156120812
132,WMT,2016-06-23,69.694485218323
133,WMT,2016-06-22,69.356162474545
134,WMT,2016-06-21,69.075837915414
135,WMT,2016-06-20,68.727848807528
136,WMT,2016-06-17,68.582853345909
137,WMT,2016-06-16,68.921176089687
138,WMT,2016-06-15,68.747181535744
139,WMT,2016-06-14,68.582853345909
140,WMT,2016-06-13,68.176866053375
141,WMT,2016-06-10,68.76651426396
142,WMT,2016-06-09,68.71818244342
143,WMT,2016-06-08,68.901843361471
144,WMT,2016-06-07,68.660184258772
145,WMT,2016-06-06,68.679516986988
146,WMT,2016-06-03,68.505522433045
147,WMT,2016-06-02,68.582853345909
148,WMT,2016-06-01,68.147866961051
149,WMT,2016-05-31,68.418525156074
150,WMT,2016-05-27,68.38952606375
151,WMT,2016-05-26,68.486189704829
152,WMT,2016-05-25,68.128534232835
153,WMT,2016-05-24,67.896541494244
154,WMT,2016-05-23,67.181230550256
155,WMT,2016-05-20,67.529219658142
156,WMT,2016-05-19,66.891239627017
157,WMT,2016-05-18,61.043089341707
158,WMT,2016-05-17,62.928030342758
159,WMT,2016-05-16,63.817335840689
160,WMT,2016-05-13,62.77336851703
161,WMT,2016-05-12,64.619644061649
162,WMT,2016-05-11,64.194324040899
163,WMT,2016-05-10,65.998020486825
164,WMT,2016-05-09,66.151526567329
165,WMT,2016-05-06,65.479937465123
166,WMT,2016-05-05,64.482147941845
167,WMT,2016-05-04,64.462959681782
168,WMT,2016-05-03,64.280671211183
169,WMT,2016-05-02,64.846724883043
170,WMT,2016-04-29,64.155947520773
171,WMT,2016-04-28,66.113150047203
172,WMT,2016-04-27,66.602450678811
173,WMT,2016-04-26,66.487321118432
174,WMT,2016-04-25,66.650421328968
175,WMT,2016-04-22,65.930861576604
176,WMT,2016-04-21,65.691008325816
177,WMT,2016-04-20,66.400973948149
178,WMT,2016-04-19,66.938245229914
179,WMT,2016-04-18,67.024592400198
180,WMT,2016-04-15,66.257061997676
181,WMT,2016-04-14,66.007614616856
182,WMT,2016-04-13,66.34340916796
183,WMT,2016-04-12,66.007614616856
184,WMT,2016-04-11,64.664436412444
185,WMT,2016-04-08,65.297648994524
186,WMT,2016-04-07,65.451155075028
187,WMT,2016-04-06,66.237873737613
188,WMT,2016-04-05,65.854108536352
189,WMT,2016-04-04,66.295438517802
190,WMT,2016-04-01,66.257061997676
191,WMT,2016-03-31,65.710196585879
192,WMT,2016-03-30,66.007614616856
193,WMT,2016-03-29,65.268866604429
194,WMT,2016-03-28,65.355213774713
195,WMT,2016-03-24,65.240084214335
196,WMT,2016-03-23,64.722001192633
197,WMT,2016-03-22,65.115360523925
198,WMT,2016-03-21,65.21130182424
199,WMT,2016-03-18,64.232700561025
200,WMT,2016-03-17,64.712407062601
201,WMT,2016-03-16,65.230490084303
202,WMT,2016-03-15,65.326431384619
203,WMT,2016-03-14,64.626059892318
204,WMT,2016-03-11,64.443771421719
205,WMT,2016-03-10,64.674030542475
206,WMT,2016-03-09,64.789160102853
207,WMT,2016-03-08,64.79868371892
208,WMT,2016-03-07,64.655829477917
209,WMT,2016-03-04,63.598708094496
210,WMT,2016-03-03,62.989196666217
211,WMT,2016-03-02,63.055861978685
212,WMT,2016-03-01,63.293952380356
213,WMT,2016-02-29,63.179668987554
214,WMT,2016-02-26,63.341570460691
215,WMT,2016-02-25,64.79868371892
216,WMT,2016-02-24,63.922511040769
217,WMT,2016-02-23,63.31299961249
218,WMT,2016-02-22,62.503492246807
219,WMT,2016-02-19,61.579701488321
220,WMT,2016-02-18,61.065426220711
221,WMT,2016-02-17,62.960625818016
222,WMT,2016-02-16,62.760629880612
223,WMT,2016-02-12,63.027291130484
224,WMT,2016-02-11,62.208260148734
225,WMT,2016-02-10,62.655870103877
226,WMT,2016-02-09,62.67491733601
227,WMT,2016-02-08,63.712991487298
228,WMT,2016-02-05,63.808227647967
229,WMT,2016-02-04,63.255857916089
230,WMT,2016-02-03,63.113003675086
231,WMT,2016-02-02,63.674897023031
232,WMT,2016-02-01,64.28440845131
233,WMT,2016-01-29,63.198716219688
234,WMT,2016-01-28,61.160662381379
235,WMT,2016-01-27,60.903524747574
236,WMT,2016-01-26,60.951142827909
237,WMT,2016-01-25,60.427343944231
238,WMT,2016-01-22,59.70354912315
239,WMT,2016-01-21,58.932136221734
240,WMT,2016-01-20,57.941680150781
241,WMT,2016-01-19,59.579742114281
242,WMT,2016-01-15,58.979754302068
243,WMT,2016-01-14,60.055922917624
244,WMT,2016-01-13,58.970230686002
245,WMT,2016-01-12,60.589245417368
246,WMT,2016-01-11,61.160662381379
247,WMT,2016-01-08,60.513056488833
248,WMT,2016-01-07,61.932075282795
249,WMT,2016-01-06,60.5225801049
250,WMT,2016-01-05,59.922592292688
251,WMT,2016-01-04,58.532144346926
252,WMT,2015-12-31,58.379766489856
253,WMT,2015-12-30,58.741663900397
254,WMT,2015-12-29,58.674998587929
255,WMT,2015-12-28,57.855967606179
256,WMT,2015-12-24,57.932156534714
257,WMT,2015-12-23,58.179770552452
258,WMT,2015-12-22,57.655971668775
